Model,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
LSTM,0.6744576446280992,0.7043968432919955,0.7208121827411168,0.7125099783327632,"[[2099 1311]
 [1210 3124]]"
GRU,0.6810433884297521,0.7051959489211801,0.7390401476695893,0.7217214961694457,"[[2071 1339]
 [1131 3203]]"
